instance_id,music_genre
1,Anime
2,Electronic
3,Classical
4,Alternative
5,Alternative
6,Rap
7,Hip-Hop
8,Rock
9,Classical
10,Alternative
11,Electronic
12,Rock
13,Electronic
14,Rap
15,Hip-Hop
16,Rock
17,Classical
18,Blues
19,Blues
20,Classical
21,Country
22,Anime
23,Jazz
24,Blues
25,Blues
26,Anime
27,Rap
28,Anime
29,Hip-Hop
30,Hip-Hop
31,Hip-Hop
32,Rap
33,Blues
34,Hip-Hop
35,Classical
36,Anime
37,Rap
38,Classical
39,Rock
40,Rock
41,Country
42,Rock
43,Alternative
44,Blues
45,Anime
46,Rap
47,Blues
48,Classical
49,Rap
50,Anime
51,Jazz
52,Hip-Hop
53,Anime
54,Classical
55,Hip-Hop
56,Jazz
57,Electronic
58,Electronic
59,Rock
60,Country
61,Rock
62,Country
63,Country
64,Country
65,Rock
66,Hip-Hop
67,Rock
68,Classical
69,Jazz
70,Jazz
71,Rock
72,Jazz
73,Rock
74,Classical
75,Country
76,Hip-Hop
77,Blues
78,Jazz
79,Jazz
80,Rock
81,Blues
82,Alternative
83,Hip-Hop
84,Alternative
85,Classical
86,Anime
87,Rock
88,Rock
89,Hip-Hop
90,Hip-Hop
91,Alternative
92,Rock
93,Hip-Hop
94,Classical
95,Hip-Hop
96,Blues
97,Rock
98,Rock
99,Country
100,Rock
101,Alternative
102,Blues
103,Jazz
104,Electronic
105,Hip-Hop
106,Rock
107,Country
108,Hip-Hop
109,Anime
110,Electronic
111,Blues
112,Rock
113,Hip-Hop
114,Jazz
115,Jazz
116,Rap
117,Anime
118,Blues
119,Hip-Hop
120,Alternative
121,Classical
122,Anime
123,Classical
124,Anime
125,Electronic
126,Country
127,Rock
128,Rock
129,Rock
130,Electronic
131,Country
132,Rock
133,Blues
134,Country
135,Country
136,Electronic
137,Rap
138,Rock
139,Blues
140,Classical
141,Rock
142,Jazz
143,Rock
144,Rock
145,Country
146,Country
147,Electronic
148,Rock
149,Alternative
150,Hip-Hop
151,Rock
152,Classical
153,Rock
154,Anime
155,Jazz
156,Classical
157,Country
158,Hip-Hop
159,Anime
160,Blues
161,Country
162,Anime
163,Classical
164,Hip-Hop
165,Alternative
166,Hip-Hop
167,Alternative
168,Rock
169,Rap
170,Electronic
171,Rap
172,Electronic
173,Blues
174,Alternative
175,Hip-Hop
176,Country
177,Hip-Hop
178,Anime
179,Classical
180,Electronic
181,Jazz
182,Anime
183,Electronic
